,0,1,2,3,4
0,14,12,1,0,0
1,13,12,1,0,0
2,13,12,1,0,0
3,13,12,1,0,0
4,13,12,1,0,0
5,12,12,0,1,1
6,12,12,0,1,1
7,12,11,1,0,0
8,12,11,1,0,0
9,12,11,1,0,0
10,11,11,0,1,1
11,11,11,0,1,1
12,11,11,0,1,1
13,11,11,0,1,1
14,11,11,0,1,1
15,11,11,0,1,1
16,11,11,0,1,1
17,11,11,0,1,1
18,11,11,0,1,1
19,11,11,0,1,1
20,11,11,0,1,1
21,10,10,0,1,1
22,10,10,0,1,1
23,10,10,0,1,1
24,10,10,0,1,1
25,10,10,0,1,1
26,10,10,0,1,1
27,10,10,0,1,1
28,10,10,0,1,1
29,10,10,0,1,1
30,10,10,0,1,1
31,10,10,0,1,1
32,10,10,0,1,1
33,10,10,0,1,1
34,10,9,1,0,0
35,9,9,0,1,1
36,9,9,0,1,1
37,9,9,0,1,1
38,9,9,0,1,1
39,9,9,0,1,1
40,9,9,0,1,1
41,9,9,0,1,1
42,9,9,0,1,1
43,9,9,0,1,1
44,8,9,0,0,2
45,8,9,0,0,2
46,8,9,0,0,2
47,8,8,0,1,1
48,8,8,0,1,1
49,8,8,0,1,1
50,8,8,0,1,1
51,8,8,0,1,1
52,8,8,0,1,1
53,8,8,0,1,1
54,7,8,0,0,2
55,7,8,0,0,2
56,7,8,0,0,2
57,7,8,0,0,2
58,7,8,0,0,2
59,7,8,0,0,2
60,7,8,0,0,2
61,7,7,0,1,1
62,7,7,0,1,1
63,7,7,0,1,1
64,6,7,0,0,2
65,6,7,0,0,2
66,6,7,0,0,2
67,6,7,0,0,2
68,6,7,0,0,2
69,6,7,0,0,2
70,6,7,0,0,2
71,6,7,0,0,2
72,6,7,0,0,2
73,6,7,0,0,2
74,6,6,0,1,1
75,6,6,0,1,1
76,6,6,0,1,1
77,6,6,0,1,1
78,6,6,0,1,1
79,6,6,0,1,1
80,6,6,0,1,1
81,6,6,0,1,1
82,5,6,0,0,2
83,5,6,0,0,2
84,5,6,0,0,2
85,5,6,0,0,2
86,5,6,0,0,2
87,5,5,0,1,1
88,5,5,0,1,1
89,5,5,0,1,1
90,5,5,0,1,1
91,5,5,0,1,1
92,5,5,0,1,1
93,5,5,0,1,1
94,5,5,0,1,1
95,5,5,0,1,1
96,5,5,0,1,1
97,5,5,0,1,1
98,4,5,0,0,2
99,4,5,0,0,2
100,4,5,0,0,2
101,4,4,0,1,1
102,4,4,0,1,1
103,4,4,0,1,1
104,4,4,0,1,1
105,4,4,0,1,1
106,4,4,0,1,1
107,4,4,0,1,1
108,4,4,0,1,1
109,4,4,0,1,1
110,4,4,0,1,1
111,4,4,0,1,1
112,4,4,0,1,1
113,4,4,0,1,1
114,3,3,0,1,1
115,3,3,0,1,1
116,3,3,0,1,1
117,3,3,0,1,1
118,3,3,0,1,1
119,3,3,0,1,1
120,3,3,0,1,1
121,3,3,0,1,1
122,3,3,0,1,1
123,3,3,0,1,1
124,3,3,0,1,1
125,3,3,0,1,1
126,3,3,0,1,1
127,2,2,0,1,1
128,2,2,0,1,1
129,2,2,0,1,1
130,2,2,0,1,1
131,2,2,0,1,1
132,2,2,0,1,1
133,2,2,0,1,1
134,2,2,0,1,1
135,2,2,0,1,1
136,2,2,0,1,1
137,2,2,0,1,1
138,2,2,0,1,1
139,2,2,0,1,1
140,2,2,0,1,1
141,1,1,0,1,1
142,1,1,0,1,1
143,1,1,0,1,1
144,1,1,0,1,1
145,1,1,0,1,1
146,1,1,0,1,1
147,1,1,0,1,1
148,1,1,0,1,1
149,1,1,0,1,1
150,1,1,0,1,1
151,1,1,0,1,1
152,1,1,0,1,1
153,1,1,0,1,1
154,0,0,0,1,1
155,0,0,0,1,1
156,0,0,0,1,1
157,0,0,0,1,1
158,0,0,0,1,1
159,0,0,0,1,1
160,0,0,0,1,1
161,0,0,0,1,1
162,0,0,0,1,1
163,0,0,0,1,1
164,0,0,0,1,1
165,0,0,0,1,1
166,0,0,0,1,1
167,-1,-1,0,1,1
168,-1,-1,0,1,1
169,-1,-1,0,1,1
170,-1,-1,0,1,1
171,-1,-1,0,1,1
172,-1,-1,0,1,1
173,-1,-1,0,1,1
174,-1,-1,0,1,1
175,-1,-1,0,1,1
176,-1,-1,0,1,1
177,-1,-1,0,1,1
178,-1,-1,0,1,1
179,-1,-1,0,1,1
180,-1,-1,0,1,1
181,-2,-2,0,1,1
182,-2,-2,0,1,1
183,-2,-2,0,1,1
184,-2,-2,0,1,1
185,-2,-2,0,1,1
186,-2,-2,0,1,1
187,-2,-2,0,1,1
188,-2,-2,0,1,1
